"","id","income","education","gender","age","union","height","weight","surveydate","female"
"31",31,50000,9,"female",45,"yes",160,110,2015-10-04,TRUE
"32",32,50000,4,"female",73,"used to be",155,140,2015-10-04,TRUE
"33",33,60000,6,"male",25,"no",178,146,2015-10-07,FALSE
"34",34,0,3,"male",53,"no",170,140,2015-10-03,FALSE
"35",35,40000,13,"female",30,"yes",158,88,2015-09-18,TRUE
"36",36,32000,10,"male",77,"used to be",170,145,2015-10-07,FALSE
"37",37,50000,6,"female",49,"used to be",159,120,2015-10-02,TRUE
"38",38,60000,4,"female",38,"no",160,120,2015-10-01,TRUE
"39",39,45000,4,"male",63,"used to be",174,140,2015-10-03,FALSE
"40",40,28000,7,"male",72,"used to be",176,150,2015-09-27,FALSE
"41",41,16800,3,"female",59,"no",170,150,2015-10-01,TRUE
"42",42,20000,4,"male",47,"no",160,120,2015-10-03,FALSE
"43",43,30000,4,"male",45,"no",168,110,2015-10-06,FALSE
"44",44,50000,3,"male",22,"no",178,176,2015-08-29,FALSE
"45",45,1e+05,12,"female",46,"yes",158,118,2015-10-02,TRUE
"46",46,0,1,"female",90,"no",152,135,2015-08-30,TRUE
"47",47,60000,13,"male",65,"used to be",178,140,2015-09-23,FALSE
"48",48,0,9,"female",37,"no",165,114,2015-09-26,TRUE
"49",49,36000,3,"female",42,"no",160,105,2015-10-05,TRUE
"50",50,48000,12,"female",81,"used to be",165,118,2015-09-25,TRUE
"51",51,60000,6,"male",72,"yes",162,138,2015-10-17,FALSE
"52",52,30000,6,"male",57,"used to be",172,130,2015-10-01,FALSE
"53",53,30000,12,"male",28,"no",188,200,2015-08-31,FALSE
"54",54,70000,6,"female",61,"used to be",150,100,2015-09-28,TRUE
"55",55,60000,13,"female",33,"yes",162,104,2015-10-17,TRUE
"56",56,60000,6,"male",34,"yes",170,150,2015-10-05,FALSE
"57",57,0,13,"female",40,"no",160,160,2015-08-31,TRUE
"58",58,24000,4,"male",58,"used to be",173,160,2015-10-02,FALSE
"59",59,25000,4,"female",63,"used to be",158,170,2015-10-03,TRUE
"60",60,30000,5,"male",21,"no",172,110,2015-10-01,FALSE
"61",61,70000,9,"female",33,"no",165,138,2015-09-23,TRUE
"62",62,40000,7,"male",74,"used to be",172,140,2015-10-02,FALSE
"63",63,150000,13,"male",42,"no",170,140,2015-10-17,FALSE
"64",64,1e+05,10,"female",38,"no",160,135,2015-10-17,TRUE
"65",65,110000,4,"male",47,"no",163,130,2015-09-24,FALSE
"66",66,24000,3,"male",62,"no",175,140,2015-10-17,FALSE
"67",67,80000,10,"male",25,"no",175,170,2015-10-01,FALSE
"68",68,50000,4,"female",28,"no",161,110,2015-10-24,TRUE
"69",69,30000,7,"female",53,"no",156,100,2015-10-01,TRUE
"70",70,0,9,"female",19,"no",160,112,2015-09-27,TRUE
"71",71,180000,12,"male",43,"yes",165,130,2015-10-17,FALSE
"72",72,24000,4,"male",61,"yes",170,156,2015-10-02,FALSE
"73",73,50000,10,"male",53,"no",170,138,2015-10-17,FALSE
"74",74,1e+05,6,"male",30,"no",178,140,2015-09-28,FALSE
"75",75,36000,4,"male",30,"no",175,150,2015-10-06,FALSE
"76",76,80000,12,"male",72,"no",180,140,2015-10-04,FALSE
"77",77,20000,4,"female",52,"no",165,126,2015-10-06,TRUE
"78",78,48000,11,"male",55,"used to be",175,150,2015-10-03,FALSE
"79",79,40000,10,"female",38,"no",163,114,2015-10-01,TRUE
"80",80,50000,12,"male",67,"used to be",168,150,2015-10-05,FALSE
"81",81,0,10,"female",19,"no",166,108,2015-10-06,TRUE
"82",82,50000,4,"female",51,"no",165,120,2015-10-04,TRUE
"83",83,13000,2,"female",82,"no",160,122,2015-10-04,TRUE
"84",84,80000,12,"female",38,"no",165,110,2015-09-23,TRUE
"85",85,30000,10,"female",22,"yes",163,94,2015-10-03,TRUE
"86",86,20000,4,"female",57,"used to be",163,136,2015-10-04,TRUE
"87",87,35000,6,"male",25,"no",175,130,2015-09-19,FALSE
"88",88,32000,9,"male",64,"yes",168,112,2015-10-03,FALSE
"89",89,80000,7,"male",27,"no",172,120,2015-08-29,FALSE
"90",90,50000,6,"female",34,"no",158,96,2015-10-03,TRUE
"91",91,20000,7,"female",56,"used to be",158,120,2015-10-03,TRUE
"92",92,50000,10,"male",61,"yes",166,120,2015-09-26,FALSE
"93",93,20000,6,"male",51,"yes",172,130,2015-10-05,FALSE
"94",94,50000,4,"male",57,"used to be",175,150,2015-10-04,FALSE
"95",95,54000,11,"female",25,"no",165,105,2015-10-03,TRUE
"96",96,15000,4,"male",60,"no",160,110,2015-10-05,FALSE
"97",97,15000,12,"male",24,"no",170,100,2015-10-17,FALSE
"98",98,42000,12,"female",29,"no",160,98,2015-10-03,TRUE
"99",99,70000,12,"female",61,"yes",162,108,2015-10-02,TRUE
"100",100,0,3,"female",68,"no",160,130,2015-08-30,TRUE
"101",101,2e+05,12,"female",30,"no",165,108,2015-10-03,TRUE
"102",102,42000,4,"male",76,"used to be",164,114,2015-10-04,FALSE
"103",103,30000,6,"male",62,"no",176,148,2015-10-04,FALSE
"104",104,1e+05,12,"male",69,"used to be",168,150,2015-09-28,FALSE
"105",105,40000,11,"male",35,"no",170,140,2015-10-03,FALSE
"106",106,60000,7,"female",78,"used to be",149,96,2015-10-04,TRUE
"107",107,20000,4,"female",49,"used to be",158,170,2015-10-01,TRUE
"108",108,45000,7,"male",70,"used to be",169,135,2015-10-03,FALSE
"109",109,0,6,"male",52,"no",168,156,2015-10-04,FALSE
"110",110,3000,3,"male",39,"no",170,175,2015-10-01,FALSE
"111",111,5000,4,"male",28,"used to be",175,128,2015-10-02,FALSE
"112",112,0,4,"female",48,"no",162,160,2015-08-29,TRUE
"113",113,30000,4,"female",46,"no",158,109,2015-10-02,TRUE
"114",114,80000,10,"male",40,"used to be",171,134,2015-10-17,FALSE
"115",115,84000,10,"male",34,"yes",180,166,2015-10-18,FALSE
"116",116,1e+05,12,"male",35,"no",174,147,2015-10-02,FALSE
"117",117,36000,4,"female",72,"no",155,100,2015-10-03,TRUE
"118",118,20000,4,"female",49,"no",155,110,2015-08-30,TRUE
"119",119,36000,4,"male",60,"yes",172,120,2015-10-04,FALSE
"120",120,120000,12,"male",26,"no",178,180,2015-10-03,FALSE
"121",121,42000,4,"male",61,"used to be",176,140,2015-10-04,FALSE
"122",122,30000,6,"male",36,"no",170,130,2015-10-01,FALSE
"123",123,0,7,"male",18,"no",176,114,2015-10-17,FALSE
"124",124,25000,4,"female",56,"no",163,104,2015-10-03,TRUE
"125",125,2e+05,13,"female",29,"yes",165,129,2015-10-12,TRUE
"126",126,33600,6,"male",67,"used to be",173,160,2015-10-02,FALSE
"127",127,30000,3,"female",64,"used to be",151,140,2015-10-05,TRUE
"128",128,1e+05,7,"female",36,"yes",160,112,2015-09-24,TRUE
"129",129,50000,4,"male",40,"no",170,140,2015-10-06,FALSE
"130",130,60000,11,"female",35,"yes",158,100,2015-10-01,TRUE
"131",131,24000,6,"female",47,"yes",156,118,2015-10-03,TRUE
"132",132,36000,6,"female",52,"used to be",160,115,2015-10-02,TRUE
"133",133,7560,6,"female",60,"no",154,130,2015-10-03,TRUE
"134",134,80000,10,"female",47,"yes",160,125,2015-09-18,TRUE
"135",135,150000,6,"male",54,"no",177,140,2015-10-07,FALSE
"136",136,5000,4,"female",49,"no",155,130,2015-10-17,TRUE
"137",137,36000,3,"female",82,"used to be",155,130,2015-09-08,TRUE
"138",138,30000,9,"female",47,"yes",168,154,2015-10-05,TRUE
"139",139,30000,7,"female",23,"no",160,115,2015-10-05,TRUE
"140",140,120000,6,"male",21,"no",169,120,2015-10-07,FALSE
"141",141,0,13,"female",24,"no",172,120,2015-09-29,TRUE
"142",142,0,12,"female",33,"no",160,120,2015-10-17,TRUE
"143",143,4e+05,13,"female",45,"no",170,140,2015-10-01,TRUE
"144",144,30000,4,"female",65,"no",164,130,2015-10-01,TRUE
"145",145,74400,4,"male",65,"used to be",170,170,2015-10-06,FALSE
"146",146,30000,9,"female",56,"used to be",160,120,2015-10-04,TRUE
"147",147,66000,10,"female",68,"used to be",162,95,2015-09-30,TRUE
"148",148,50000,13,"female",27,"no",170,110,2015-09-19,TRUE
"149",149,50000,12,"female",75,"no",162,95,2015-09-29,TRUE
"150",150,80000,12,"female",42,"yes",160,130,2015-10-04,TRUE
"151",151,75000,4,"male",62,"used to be",172,140,2015-09-24,FALSE
"152",152,36000,6,"female",56,"used to be",168,125,2015-09-13,TRUE
"153",153,32000,10,"female",66,"used to be",165,100,2015-10-02,TRUE
"154",154,50000,4,"male",48,"yes",174,138,2015-10-10,FALSE
"155",155,0,6,"female",24,"no",158,100,2015-09-13,TRUE
"156",156,120000,7,"female",59,"no",165,120,2015-10-01,TRUE
"157",157,80000,13,"female",29,"no",162,104,2015-09-28,TRUE
"158",158,50000,4,"male",34,"no",170,130,2015-10-06,FALSE
"159",159,50000,10,"male",28,"no",175,160,2015-09-19,FALSE
"160",160,25000,4,"male",52,"no",175,140,2015-10-05,FALSE
"161",161,45000,9,"female",55,"yes",166,130,2015-09-26,TRUE
"162",162,30000,3,"female",82,"no",158,120,2015-09-27,TRUE
"163",163,1e+06,12,"female",34,"no",160,108,2015-10-25,TRUE
"164",164,42000,4,"female",73,"yes",153,100,2015-10-01,TRUE
"165",165,0,12,"female",22,"no",160,100,2015-09-01,TRUE
"166",166,1e+05,6,"female",32,"no",160,110,2015-10-02,TRUE
"167",167,5000,4,"female",27,"no",168,110,2015-10-05,TRUE
"168",168,50000,11,"male",33,"yes",178,160,2015-09-20,FALSE
"169",169,1e+05,12,"female",24,"no",159,112,2015-09-01,TRUE
"170",170,70000,10,"male",33,"no",175,164,2015-09-12,FALSE
"171",171,0,3,"female",81,"used to be",157,120,2015-10-04,TRUE
"172",172,20000,4,"female",46,"yes",150,100,2015-08-29,TRUE
"173",173,0,3,"female",56,"no",152,112,2015-08-29,TRUE
"174",174,1e+05,12,"male",31,"yes",180,155,2015-09-27,FALSE
"175",175,50000,7,"male",73,"used to be",175,136,2015-10-04,FALSE
"176",176,1e+05,10,"female",42,"no",150,88,2015-10-02,TRUE
"177",177,70000,6,"female",26,"no",162,116,2015-09-26,TRUE
"178",178,350000,12,"male",33,"yes",168,160,2015-09-26,FALSE
"179",179,21600,1,"female",80,"no",155,110,2015-10-03,TRUE
"180",180,6000,12,"male",22,"no",173,110,2015-10-04,FALSE
"181",181,24000,6,"male",55,"yes",175,185,2015-10-04,FALSE
"182",182,50000,9,"male",38,"no",170,155,2015-10-03,FALSE
"183",183,240000,12,"male",25,"no",182,150,2015-10-04,FALSE
"184",184,1e+05,6,"female",43,"no",155,122,2015-10-03,TRUE
"185",185,30000,11,"female",43,"yes",168,100,2015-10-17,TRUE
"186",186,40000,10,"male",23,"no",183,135,2015-10-03,FALSE
"187",187,80000,12,"female",28,"yes",160,160,2015-10-17,TRUE
"188",188,40000,10,"female",26,"no",164,112,2015-10-06,TRUE
"189",189,55000,6,"male",59,"yes",162,124,2015-09-28,FALSE
"190",190,60000,7,"female",32,"no",160,160,2015-09-12,TRUE
"191",191,34632,6,"female",70,"no",158,130,2015-10-17,TRUE
"192",192,0,5,"female",48,"no",162,100,2015-10-02,TRUE
"193",193,90000,4,"male",55,"used to be",178,140,2015-10-01,FALSE
"194",194,58800,4,"male",63,"yes",166,145,2015-09-26,FALSE
"195",195,48000,6,"male",53,"yes",176,140,2015-10-02,FALSE
"196",196,30000,4,"male",57,"no",172,120,2015-08-29,FALSE
"197",197,30000,6,"female",52,"used to be",158,150,2015-09-20,TRUE
"198",198,50000,12,"female",32,"yes",168,90,2015-10-01,TRUE
"199",199,3e+05,4,"male",38,"no",173,140,2015-10-01,FALSE
"200",200,20000,4,"female",63,"used to be",163,140,2015-10-01,TRUE
"201",201,84000,12,"male",51,"no",168,136,2015-10-02,FALSE
"202",202,80000,4,"male",34,"no",165,140,2015-10-05,FALSE
"203",203,44400,4,"female",80,"used to be",156,120,2015-09-19,TRUE
"204",204,150000,13,"female",31,"yes",155,80,2015-10-01,TRUE
"205",205,0,3,"female",53,"no",160,136,2015-08-29,TRUE
"206",206,60000,10,"male",54,"no",170,120,2015-10-18,FALSE
"207",207,2e+05,10,"female",45,"no",165,130,2015-10-02,TRUE
"208",208,45000,4,"male",50,"yes",170,160,2015-10-06,FALSE
"209",209,0,3,"male",59,"no",170,128,2015-10-18,FALSE
"210",210,40000,12,"female",30,"used to be",170,110,2015-09-29,TRUE
"211",211,40000,9,"male",46,"yes",170,124,2015-09-06,FALSE
"212",212,0,7,"female",30,"no",159,90,2015-09-07,TRUE
"213",213,70000,12,"female",62,"used to be",156,120,2015-10-05,TRUE
"214",214,30000,6,"male",22,"no",167,100,2015-10-07,FALSE
"215",215,0,4,"male",43,"yes",167,170,2015-09-01,FALSE
"216",216,20400,6,"female",52,"no",168,140,2015-10-03,TRUE
"217",217,360000,7,"female",27,"no",162,100,2015-10-01,TRUE
"218",218,30000,6,"male",53,"yes",165,150,2015-10-04,FALSE
"219",219,21600,4,"male",66,"no",170,150,2015-09-01,FALSE
"220",220,35000,4,"female",63,"no",150,130,2015-10-04,TRUE
"221",221,48000,4,"male",66,"used to be",170,140,2015-10-23,FALSE
"222",222,35000,4,"male",66,"used to be",176,150,2015-09-18,FALSE
"223",223,40000,4,"male",35,"no",170,130,2015-09-01,FALSE
"224",224,36000,7,"female",66,"used to be",155,125,2015-09-23,TRUE
"225",225,15000,4,"female",48,"no",165,200,2015-08-30,TRUE
"226",226,80000,12,"male",49,"no",171,154,2015-10-04,FALSE
"227",227,60000,4,"male",22,"no",179,160,2015-08-30,FALSE
"228",228,20000,1,"male",48,"no",170,160,2015-08-29,FALSE
"229",229,1e+05,12,"female",28,"no",166,105,2015-09-24,TRUE
"230",230,150000,12,"male",35,"no",182,168,2015-09-18,FALSE
"231",231,4e+05,12,"male",33,"no",178,146,2015-10-04,FALSE
"232",232,60000,9,"male",68,"yes",162,120,2015-10-18,FALSE
"233",233,30000,4,"female",66,"used to be",159,106,2015-09-28,TRUE
"234",234,30000,6,"female",60,"used to be",161,135,2015-10-07,TRUE
"235",235,30000,4,"male",28,"no",177,200,2015-08-30,FALSE
"236",236,1e+05,12,"female",52,"yes",160,120,2015-09-26,TRUE
"237",237,80000,7,"male",33,"no",165,110,2015-10-06,FALSE
"238",238,23000,3,"male",51,"no",165,120,2015-10-05,FALSE
"239",239,32400,11,"female",64,"yes",155,120,2015-10-04,TRUE
"240",240,190000,13,"male",35,"no",170,170,2015-10-03,FALSE
"241",241,26000,4,"female",64,"used to be",151,92,2015-10-24,TRUE
"242",242,120000,10,"male",30,"no",183,160,2015-10-01,FALSE
"243",243,3680,3,"female",88,"no",140,82,2015-10-01,TRUE
"244",244,1e+05,12,"male",47,"yes",174,152,2015-10-24,FALSE
"245",245,50000,10,"female",29,"no",155,90,2015-10-18,TRUE
"246",246,30000,4,"female",61,"used to be",163,134,2015-10-17,TRUE
"247",247,50000,12,"female",39,"yes",170,135,2015-09-15,TRUE
"248",248,250000,12,"male",33,"yes",173,160,2015-10-17,FALSE
"249",249,60000,12,"male",37,"yes",173,90,2015-10-03,FALSE
"250",250,0,11,"female",33,"no",173,118,2015-09-29,TRUE
"251",251,84000,12,"female",30,"no",157,96,2015-10-17,TRUE
"252",252,30000,6,"male",28,"no",172,165,2015-10-01,FALSE
"253",253,2e+05,12,"female",31,"no",162,110,2015-10-05,TRUE
"254",254,55000,12,"female",25,"yes",163,100,2015-09-14,TRUE
"255",255,1e+05,11,"female",41,"no",162,140,2015-10-05,TRUE
"256",256,30000,6,"female",66,"used to be",160,120,2015-10-03,TRUE
"257",257,24000,4,"female",51,"no",158,130,2015-10-04,TRUE
"258",258,80000,9,"male",27,"no",170,125,2015-10-17,FALSE
"259",259,4e+05,4,"female",76,"used to be",158,112,2015-09-30,TRUE
"260",260,42000,1,"female",81,"used to be",156,140,2015-10-04,TRUE
"261",261,3e+05,13,"male",30,"no",170,120,2015-10-04,FALSE
"262",262,12000,4,"female",39,"no",158,130,2015-10-05,TRUE
"263",263,40000,3,"male",77,"used to be",172,162,2015-10-06,FALSE
"264",264,40000,10,"male",34,"no",172,140,2015-10-02,FALSE
"265",265,150000,12,"male",37,"no",174,140,2015-09-25,FALSE
"266",266,35000,6,"female",59,"used to be",168,148,2015-10-04,TRUE
"267",267,50000,3,"male",29,"no",170,150,2015-08-31,FALSE
"268",268,50000,6,"male",35,"no",170,140,2015-10-18,FALSE
"269",269,70000,12,"female",32,"no",160,104,2015-10-04,TRUE
"270",270,60000,7,"female",69,"used to be",153,104,2015-10-04,TRUE
"271",271,1e+05,4,"male",44,"no",180,140,2015-10-05,FALSE
"272",272,1e+05,12,"male",36,"no",175,156,2015-10-02,FALSE
"273",273,20000,7,"female",65,"used to be",167,136,2015-10-03,TRUE
"274",274,30000,4,"female",63,"used to be",162,130,2015-10-01,TRUE
"275",275,20000,4,"male",56,"used to be",175,160,2015-10-05,FALSE
"276",276,50000,7,"female",61,"yes",154,114,2015-10-04,TRUE
"277",277,50000,6,"male",54,"no",179,146,2015-09-26,FALSE
"278",278,80000,10,"female",29,"yes",163,120,2015-09-10,TRUE
"279",279,36000,6,"male",70,"used to be",165,105,2015-10-01,FALSE
"280",280,40000,11,"female",33,"no",160,94,2015-10-04,TRUE
"281",281,36000,3,"female",79,"used to be",159,92,2015-09-18,TRUE
"282",282,60000,4,"male",43,"no",164,134,2015-10-03,FALSE
"283",283,80000,13,"female",28,"no",175,122,2015-10-17,TRUE
"284",284,50000,3,"female",83,"no",156,104,2015-09-25,TRUE
"285",285,26000,7,"male",51,"yes",168,150,2015-10-05,FALSE
"286",286,40000,12,"male",75,"used to be",168,120,2015-09-30,FALSE
"287",287,35000,6,"male",70,"used to be",165,160,2015-09-25,FALSE
"288",288,30000,6,"male",52,"yes",173,212,2015-09-27,FALSE
"289",289,20000,4,"female",34,"no",160,82,2015-09-28,TRUE
"290",290,60000,7,"male",28,"no",170,120,2015-10-07,FALSE
"291",291,43000,12,"female",75,"used to be",160,140,2015-09-18,TRUE
"292",292,44000,10,"male",22,"yes",165,180,2015-10-02,FALSE
"293",293,2e+05,6,"male",43,"no",171,155,2015-10-18,FALSE
"294",294,24000,4,"male",62,"no",160,140,2015-10-05,FALSE
"295",295,2e+05,13,"male",29,"no",175,180,2015-10-01,FALSE
"296",296,40000,6,"male",74,"yes",172,160,2015-10-01,FALSE
"297",297,45600,6,"female",54,"used to be",166,140,2015-10-03,TRUE
"298",298,0,7,"female",34,"no",164,90,2015-10-06,TRUE
"299",299,2e+05,11,"female",31,"no",155,50,2015-10-03,TRUE
"300",300,40000,3,"male",27,"no",167,104,2015-08-31,FALSE
"301",301,1e+05,10,"male",44,"yes",170,120,2015-09-26,FALSE
"302",302,50000,6,"female",45,"no",161,126,2015-09-28,TRUE
"303",303,40000,12,"female",27,"no",165,110,2015-10-18,TRUE
"304",304,46200,9,"female",63,"used to be",164,136,2015-10-23,TRUE
"305",305,10000,6,"female",42,"no",158,120,2015-10-04,TRUE
"306",306,14400,10,"male",60,"yes",177,160,2015-09-27,FALSE
"307",307,30000,7,"female",37,"no",160,120,2015-10-05,TRUE
"308",308,1e+06,12,"male",40,"no",173,140,2015-09-26,FALSE
"309",309,36000,3,"female",73,"used to be",160,140,2015-10-04,TRUE
"310",310,36000,4,"male",63,"used to be",165,147,2015-10-05,FALSE
"311",311,13000,4,"female",50,"no",160,126,2015-08-31,TRUE
"312",312,110000,13,"male",32,"no",175,148,2015-10-17,FALSE
"313",313,36000,1,"female",76,"yes",150,120,2015-10-01,TRUE
"314",314,20400,4,"female",66,"no",157,150,2015-09-02,TRUE
"315",315,43000,7,"male",64,"yes",172,125,2015-10-01,FALSE
"316",316,48000,4,"male",81,"yes",170,125,2015-10-05,FALSE
"317",317,80000,12,"male",24,"used to be",170,150,2015-10-01,FALSE
"318",318,90000,9,"male",60,"no",172,144,2015-10-01,FALSE
"319",319,80000,10,"male",78,"used to be",176,160,2015-10-24,FALSE
"320",320,30000,4,"female",42,"no",160,120,2015-09-07,TRUE
"321",321,40000,9,"female",68,"used to be",153,98,2015-10-01,TRUE
"322",322,50000,7,"male",63,"no",173,140,2015-10-01,FALSE
"323",323,4e+05,10,"female",62,"no",170,130,2015-10-17,TRUE
"324",324,25000,4,"male",61,"no",167,130,2015-10-18,FALSE
"325",325,50000,12,"male",76,"used to be",173,116,2015-10-05,FALSE
"326",326,50000,10,"female",35,"no",160,90,2015-10-07,TRUE
"327",327,3e+05,12,"female",42,"yes",160,130,2015-09-26,TRUE
"328",328,0,10,"male",23,"no",175,140,2015-10-17,FALSE
"329",329,70000,10,"female",29,"no",160,128,2015-10-18,TRUE
"330",330,30000,6,"female",25,"no",163,120,2015-10-07,TRUE
"331",331,10000,3,"female",45,"no",156,110,2015-10-01,TRUE
"332",332,10000,3,"female",45,"no",170,160,2015-10-05,TRUE
"333",333,80000,11,"male",36,"no",171,146,2015-09-19,FALSE
"334",334,48000,6,"male",29,"yes",176,135,2015-10-06,FALSE
"335",335,20000,6,"female",24,"no",165,160,2015-10-05,TRUE
"336",336,35000,4,"female",19,"no",164,97,2015-10-04,TRUE
"337",337,20000,6,"male",51,"used to be",170,140,2015-10-04,FALSE
"338",338,10000,1,"male",64,"no",170,130,2015-10-17,FALSE
"339",339,20000,12,"female",61,"used to be",165,140,2015-09-19,TRUE
"340",340,6000,4,"female",56,"no",166,130,2015-10-03,TRUE
"341",341,150000,12,"female",40,"used to be",162,106,2015-10-18,TRUE
"342",342,1e+05,6,"female",50,"no",165,100,2015-10-03,TRUE
"343",343,1e+05,12,"male",89,"used to be",170,120,2015-10-01,FALSE
"344",344,60000,10,"male",32,"no",172,130,2015-10-02,FALSE
"345",345,20000,6,"female",57,"no",160,110,2015-09-17,TRUE
"346",346,72000,14,"male",84,"used to be",170,140,2015-10-03,FALSE
"347",347,40000,7,"male",57,"used to be",172,180,2015-10-03,FALSE
"348",348,60000,10,"female",23,"no",155,98,2015-10-14,TRUE
"349",349,2e+05,10,"female",22,"no",159,80,2015-10-01,TRUE
"350",350,48000,10,"male",29,"no",170,126,2015-08-30,FALSE
"351",351,110000,13,"female",30,"yes",163,120,2015-10-17,TRUE
"352",352,50000,4,"female",64,"used to be",162,140,2015-10-01,TRUE
"353",353,0,3,"male",37,"no",163,160,2015-08-30,FALSE
"354",354,50000,10,"female",66,"used to be",156,134,2015-10-02,TRUE
"355",355,45000,6,"female",54,"used to be",155,100,2015-10-07,TRUE
"356",356,20000,6,"female",35,"yes",165,124,2015-09-01,TRUE
"357",357,10000,4,"male",70,"used to be",170,147,2015-10-01,FALSE
"358",358,1e+05,13,"female",51,"yes",165,120,2015-10-07,TRUE
"359",359,40000,4,"male",68,"used to be",170,140,2015-10-18,FALSE
"360",360,4000,3,"female",79,"no",155,130,2015-08-30,TRUE
"361",361,8e+05,4,"male",49,"no",166,135,2015-10-17,FALSE
"362",362,70000,11,"female",36,"used to be",160,96,2015-10-05,TRUE
"363",363,0,12,"male",20,"no",180,180,2015-09-06,FALSE
"364",364,0,3,"female",67,"no",153,150,2015-10-07,TRUE
"365",365,30624,6,"female",58,"used to be",166,140,2015-09-20,TRUE
"366",366,48000,4,"male",77,"used to be",172,155,2015-09-30,FALSE
"367",367,0,7,"female",32,"no",163,100,2015-10-01,TRUE
"368",368,24000,4,"male",65,"no",175,150,2015-10-01,FALSE
"369",369,50000,9,"male",62,"yes",181,170,2015-10-18,FALSE
"370",370,30000,4,"male",28,"no",175,127,2015-08-30,FALSE
"371",371,60000,4,"male",30,"no",168,116,2015-08-31,FALSE
"372",372,44400,3,"female",84,"no",161,140,2015-09-16,TRUE
"373",373,40000,4,"female",66,"used to be",156,150,2015-10-02,TRUE
"374",374,1e+05,12,"male",78,"used to be",178,125,2015-10-04,FALSE
"375",375,50000,9,"female",29,"yes",170,106,2015-10-18,TRUE
"376",376,70000,4,"male",55,"yes",165,145,2015-10-01,FALSE
"377",377,96000,12,"female",44,"yes",167,120,2015-10-17,TRUE
"378",378,1e+05,12,"male",25,"yes",175,120,2015-10-06,FALSE
"379",379,10000,3,"female",48,"no",170,140,2015-10-01,TRUE
"380",380,1e+05,12,"female",55,"yes",170,120,2015-09-14,TRUE
"381",381,28000,7,"male",63,"used to be",175,100,2015-10-18,FALSE
"382",382,3000,4,"male",57,"no",175,120,2015-08-31,FALSE
"383",383,210000,13,"male",59,"yes",180,160,2015-10-17,FALSE
"384",384,0,11,"male",21,"no",172,105,2015-10-03,FALSE
"385",385,40000,3,"female",76,"yes",156,115,2015-10-18,TRUE
"386",386,29400,4,"male",56,"used to be",174,140,2015-10-03,FALSE
"387",387,50000,8,"male",80,"yes",168,110,2015-10-05,FALSE
"388",388,46000,2,"male",84,"used to be",177,120,2015-09-30,FALSE
"389",389,36000,1,"male",86,"used to be",165,120,2015-10-02,FALSE
"390",390,30000,7,"female",35,"yes",165,136,2015-10-07,TRUE
"391",391,150000,4,"male",30,"yes",170,170,2015-10-02,FALSE
"392",392,36000,4,"female",67,"used to be",155,90,2015-10-03,TRUE
"393",393,40000,7,"male",79,"yes",165,130,2015-10-05,FALSE
"394",394,2e+05,12,"female",43,"no",162,118,2015-09-20,TRUE
"395",395,20000,7,"female",52,"used to be",150,90,2015-09-21,TRUE
"396",396,30000,12,"female",29,"yes",160,110,2015-09-08,TRUE
"397",397,20000,6,"female",55,"no",158,120,2015-09-17,TRUE
"398",398,1e+05,7,"male",39,"yes",170,135,2015-10-18,FALSE
"399",399,2e+05,12,"male",32,"no",175,164,2015-09-10,FALSE
